study,doi,lat,lon,particle/m2/d,t/km2/yr,size_low,size_high,size_units,shape,setting,notes
Allen2019,https://doi.org/10.1038/s41561-019-0335-5,42.804,1.419,365.0,0.007593825,10.0,3000.0,um,Fibers + Films + Fragments,land,size range estimated from figure 2
Brahney2020,https://doi.org/10.1126/science.aaz5819,36.1,-112.2,112.0,0.00233016,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,42.9,-109.8,68.0,0.00141474,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,43.5,-113.5,139.0,0.002891895,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.3,-105.6,435.0,0.009050175,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,34.1,-116.4,54.0,0.00112347,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.8,-109.5,120.0,0.0024966,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,38.46,-109.8,48.0,0.00099864,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.1,-105.6,148.0,0.00307914,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,39.0,-107.0,140.0,0.0029127,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,39.0,-114.2,107.0,0.002226135,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Brahney2020,https://doi.org/10.1126/science.aaz5819,37.6,-112.2,80.0,0.0016644,4.0,3000.0,um,Fibers + Fragments,land,size range stated in paper
Cai2017,https://doi.org/10.1007/s11356-017-0116-x,23.05,113.77,36.0,0.00074898,20.0,5000.0,um,Fibers + Films + Foams + Fragments,land,size range estimated from figure 4; count excludes organic particles e.g. cellulose
Dris2016,https://doi.org/10.1016/j.marpolbul.2016.01.006,48.805,2.443,110.0,0.00228855,50.0,3200.0,um,Fibers,land,size range estimated from figure 3
Klein2019,https://doi.org/10.1016/j.scitotenv.2019.05.405,53.518,9.923,305.1,0.0063476055,20.0,5000.0,um,Fibers + Fragments,land,size range estimated from section 3.3; count is mean of all samples
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,34.61,119.21,39.0,0.000811395,16.0,4900.0,um,Fibers,land,size range estimated from figure 3b
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,29.97,122.18,68.0,0.00141474,16.0,4900.0,um,Fibers,land,size range estimated from figure 3b
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,24.61,118.31,59.0,0.001227495,16.0,4900.0,um,Fibers,land,size range estimated from figure 3b
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,38.29,116.87,36.0,0.00074898,16.0,4900.0,um,Fibers,land,size range estimated from figure 3b
Roblin2020,https://doi.org/10.1021/acs.est.0c04000,55.37175,-7.33945,15.0,0.000312075,50.0,4000.0,um,Fibers,land,size range estimated from figure S3 and statement that visual detection was limited to fibers with length > 50 um; count from bulk deposition sample only; count excludes organic fibers e.g. cellulose
Stanton2019,https://doi.org/10.1016/j.scitotenv.2019.02.278,52.95,-1.14,2.9,6.03345e-05,,,,Fibers,land,size range not reported
Tian2020,https://doi.org/10.13671/j.hjkxxb.2020.0067,38.84,117.44,245.0,0.005097225,,,,,land,could not access article
Tian2020,https://doi.org/10.13671/j.hjkxxb.2020.0067,38.87,121.4,198.0,0.00411939,,,,,land,could not access article
Tian2020,https://doi.org/10.13671/j.hjkxxb.2020.0067,37.59,121.54,74.0,0.00153957,,,,,land,could not access article
Unknown1,,40.0,121.5,11.2,0.0004088,,,,,ocean,Bohai Sea
Unknown2,,38.5,119.0,139.3,0.00508445,,,,,ocean,Bohai Sea
Unknown3,,37.0,120.0,74.5,0.0015499725,,,,,land,"Eastern Shandong, China"
Unknown4,,38.84,117.4,245.6,0.005109708,,,,,land,"Tianjin, China"
Unknown5,,38.87,121.43,203.4,0.004231737,,,,,land,"West of Dalian, China"
Unknown6,,37.0,121.0,402.9,0.0083823345,,,,,land,"Eastern Shandong, China"
Unknown7,,23.0,114.0,245.9,0.0051159495,,,,,land,"East of Dongguan, China"
Unknown8,,30.5,90.5,29.1,0.0006054255,,,,,land,"Tibet, China"
Wright2020,https://doi.org/10.1016/j.envint.2019.105411,51.5111,-0.1171,771.0,0.016040655,25.0,2900.0,um,Fibers + Films + Foams + Fragments,land,size range estimated from figure 2
Yuan2023,https://doi.org/10.1016/j.scitotenv.2023.161839,23.13,113.26,65.937,0.001371819285,29.0,185.0,um,Fibers,land,size range from section 3.2
